name,X_model,Y_model,Inc_model,PA_model,Vsys_model,RA_model,DEC_model,Vdisp_model,RHI_flag,RHI_AS,VHI,Rad,Vrot_model,Rad_SD,SD_model
WALLABY_J103538-484832_BS_20,22.163904190063477,19.334583282470703,71.40113067626953,251.81707763671875,5741.38623046875,158.9084736905458,-48.809310047073204,10.0,True,49.191164210930935,131.99616195023626,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","41.24357223510742, 112.48169708251953, 127.1689453125, 133.33473205566406, 141.57369995117188","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","5.329536565713284, 3.9980804117976954, 3.54383026098195, 0.2946048631805644, 0.0011076283275555522"
WALLABY_J103538-484832_BS_21,22.142337799072266,19.140295028686523,73.45873260498047,252.95977783203125,5742.8349609375,158.90851130379687,-48.809634907764774,10.0,True,49.231641558426816,132.29330371759664,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","48.62342071533203, 116.59080505371094, 122.22355651855469, 135.0413818359375, 196.88694763183594","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","3.891837954934292, 2.912040088299364, 4.3182461103659255, 0.09443610182847673, 0.47060724739550897"
WALLABY_J103538-484832_BS_22,22.415756225585938,19.136749267578125,71.31937408447266,251.28952026367188,5744.966796875,158.9078191333672,-48.80962509741564,10.0,True,63.48055797108082,168.47748940381092,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","53.5097770690918, 106.06766510009766, 123.09317016601562, 133.63165283203125, 180.94155883789062","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","5.042241743780767, 3.367034156460021, 2.9700332511729077, 1.5431323702384239, 0.8057260137634208"
WALLABY_J103538-484832_BS_23,22.06809425354004,19.385974884033203,76.56504821777344,248.346923828125,5741.0927734375,158.9087206127948,-48.809229951707664,10.0,True,48.435483714467736,101.6040119694677,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","70.93846130371094, 115.44358825683594, 121.61808776855469, 94.2940444946289, 144.65579223632812","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","5.9052775039613135, 4.706101703981739, 3.4303877375540996, 0.11232197323955526, 0.021817894266816865"
WALLABY_J103538-484832_BS_24,22.012256622314453,19.213829040527344,68.20291900634766,249.99148559570312,5739.49169921875,158.9088468802315,-48.80951989971957,10.0,True,48.47475347715427,103.0106143981934,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","46.130210876464844, 121.50849914550781, 132.91160583496094, 92.23507690429688, 112.25203704833984","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","5.738695845418769, 5.8690981043091535, 3.154204802419181, 0.22368077101763054, 0.024113206385541163"
WALLABY_J103538-484832_BS_25,22.085723876953125,19.439239501953125,74.8819580078125,242.8970947265625,5741.1181640625,158.90868065177503,-48.809140216964124,10.0,True,49.49535788157663,121.27329387612221,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","36.551734924316406, 110.04623413085938, 127.37572479248047, 119.77812194824219, 125.60154724121094","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","3.8116204917984033, 4.892522913945739, 4.222874590080442, 0.21035540095195362, 0.029782918117232382"
WALLABY_J103538-484832_BS_26,22.11601448059082,19.306785583496094,75.93563842773438,244.79583740234375,5739.6611328125,158.90859244420167,-48.80935910139519,10.0,True,48.78386807918672,124.9503309784883,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","33.83290481567383, 115.60136413574219, 126.90550231933594, 124.31834411621094, 116.72523498535156","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","5.643808332241231, 5.792580741213388, 3.3847862626449765, 0.22914500849948674, 0.2509758225697495"
WALLABY_J103538-484832_BS_27,22.156890869140625,19.389453887939453,72.03877258300781,248.53057861328125,5740.63134765625,158.90849622634585,-48.809219053536054,10.0,True,49.77575702705022,118.15349756521577,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","48.9493293762207, 116.8255844116211, 125.16712188720703, 116.63388061523438, 116.17757415771484","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","5.588819015439689, 4.9270164520608635, 2.8782480708238296, 0.5930466940260366, 0.04360886267575155"
WALLABY_J103538-484832_BS_28,22.122711181640625,19.1756534576416,73.73479461669922,248.99249267578125,5740.966796875,158.9085640533905,-48.809577140097716,10.0,True,48.21190465563722,126.12560241853022,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","31.324230194091797, 114.39688110351562, 127.47232818603516, 125.59548950195312, 150.75930786132812","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","4.040602990566393, 4.981821435361013, 3.371757834100027, 0.06640275757199132, 0.5082605908914928"
WALLABY_J103538-484832_BS_29,22.283166885375977,19.195154190063477,72.11450958251953,244.90115356445312,5741.2578125,158.9081597373634,-48.80953543570248,10.0,True,55.31266883338429,132.37167049956918,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","45.46092224121094, 113.21514892578125, 127.63694763183594, 132.17916870117188, 133.18472290039062","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","3.8744576757550053, 4.903629270738296, 2.5817805505283764, 1.2364302589452196, 0.0014109412863837973"
WALLABY_J103538-484832_BS_30,22.301504135131836,19.25128936767578,70.45499420166016,256.1530456542969,5742.8671875,158.90811823713102,-48.80944087866912,10.0,True,50.08306980103633,120.41884150672425,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","98.22212219238281, 118.567626953125, 130.975830078125, 118.44419860839844, 160.99765014648438","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","7.127101571256437, 4.732645728182464, 2.7650401776098965, 0.6698562257215117, 0.022041793637617137"
WALLABY_J103538-484832_BS_31,22.087493896484375,19.292211532592773,74.2567367553711,242.57522583007812,5740.890625,158.90866334060155,-48.809385016146315,10.0,True,51.46643217823479,120.7566750817212,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","38.308292388916016, 118.01943969726562, 128.45578002929688, 120.21923828125, 139.70103454589844","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","5.927995291340247, 5.091498815356105, 3.216549815927061, 0.845273515653014, 0.012327393426634697"
WALLABY_J103538-484832_BS_32,21.980701446533203,19.244728088378906,74.39231872558594,251.34066772460938,5739.61376953125,158.90892942418765,-48.809470245255426,10.0,True,50.47142692645324,123.47795023343579,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","38.788394927978516, 118.00869750976562, 121.05470275878906, 123.84535217285156, 131.4620819091797","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","5.0817670598168, 4.02337465485897, 3.5357661969631127, 0.6155384753655833, 0.010997896277005174"
WALLABY_J103538-484832_BS_33,22.100881576538086,19.38727569580078,76.46125030517578,249.73556518554688,5742.67822265625,158.90863776159563,-48.80922590068948,10.0,True,52.50306668052868,121.54180980504705,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","50.505008697509766, 113.25651550292969, 122.99472045898438, 121.47689819335938, 137.98426818847656","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","4.641666085234479, 4.6999175783435465, 2.747372338168436, 1.0038013143526912, 0.037106745289305874"
WALLABY_J103538-484832_BS_34,21.97587013244629,19.07721710205078,74.94512176513672,245.50320434570312,5739.896484375,158.90892703059106,-48.809749541884244,10.0,True,49.263370377015164,100.59010352092666,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","40.58024978637695, 114.32777404785156, 127.88335418701172, 93.23504638671875, 109.23326110839844","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","4.07447295477966, 4.327668448956462, 3.4119688707612448, 0.3500162707836022, 0.07780037364051248"
WALLABY_J103538-484832_BS_35,21.962081909179688,19.285446166992188,78.69353485107422,247.5413818359375,5743.20849609375,158.90898009252362,-48.80940349208817,10.0,True,53.573420427600695,113.91532569853368,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","32.987342834472656, 115.21446228027344, 132.19424438476562, 111.90493774414062, 138.58023071289062","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","4.985717192246186, 4.4744492661128445, 2.7363829014824765, 1.074747658202579, 0.08294123749420902"
